Sample,Baseline_Precision,Baseline_Recall,Baseline_F1,Alignment_Precision,Alignment_Recall,Alignment_F1,Precision_Improvement,Recall_Improvement,F1_Improvement,Runtime_seconds
My Heart Will Go On,0.43503937007874016,0.8435114503816794,0.574025974025974,0.7791666666666667,0.7110266159695817,0.7435387673956263,0.3441272965879265,-0.13248483441209769,0.1695127933696523,7.144044637680054
不为谁而作的歌,0.04460966542750929,0.06629834254143646,0.05333333333333332,0.9095890410958904,0.9171270718232044,0.9133425034387895,0.8649793756683811,0.850828729281768,0.8600091701054562,12.212443828582764
以父之名,0.8581997533908755,0.90625,0.8815706143128563,0.963076923076923,0.8005115089514067,0.8743016759776536,0.10487716968604754,-0.10573849104859334,-0.0072689383352027015,35.111435651779175
光年之外,0.9120654396728016,0.9570815450643777,0.9340314136125654,0.9977628635346756,0.9550321199143469,0.9759299781181618,0.08569742386187396,-0.0020494251500308147,0.04189856450559648,19.68119740486145
凉凉,0.6167315175097277,0.8521505376344086,0.7155756207674944,0.8555240793201133,0.8074866310160428,0.8308115543328749,0.23879256181038566,-0.044663906618365834,0.11523593356538053,7.483919858932495
唯一,0.6114285714285714,0.9304347826086956,0.7379310344827587,0.9848484848484849,0.8478260869565217,0.911214953271028,0.37341991341991343,-0.08260869565217388,0.17328391878826932,2.6436429023742676
想见你想见你想见你,0.5749486652977412,0.7821229050279329,0.6627218934911242,0.9616613418530351,0.8384401114206128,0.8958333333333334,0.38671267655529384,0.0563172063926799,0.23311143984220917,15.591856718063354
慢慢喜欢你,0.7102272727272727,0.9282178217821783,0.8047210300429185,0.9925,0.9826732673267327,0.9875621890547265,0.28227272727272734,0.05445544554455439,0.18284115901180797,5.534255027770996
明天会更好,0.6704416761041903,0.9235569422776911,0.7769028871391077,0.9034749034749034,0.7278382581648523,0.8062015503875968,0.2330332273707132,-0.19571868411283888,0.029298663248489065,30.784013748168945
是妈妈是女儿,0.7677053824362606,0.8885245901639345,0.82370820668693,0.9842657342657343,0.9229508196721311,0.9526226734348562,0.21656035182947364,0.034426229508196626,0.12891446674792617,11.462531089782715
暗号,0.6956521739130435,0.9073724007561437,0.7875307629204266,0.8948374760994264,0.8830188679245283,0.888888888888889,0.19918530218638297,-0.024353532831615343,0.10135812596846239,21.91537857055664
月牙湾,0.5828970331588132,0.9226519337016574,0.7144385026737968,0.9881656804733728,0.9201101928374655,0.9529243937232524,0.4052686473145596,-0.0025417408641918993,0.2384858910494556,11.294566869735718
来迟,0.6423841059602649,0.8798185941043084,0.7425837320574161,0.9975490196078431,0.920814479638009,0.9576470588235294,0.3551649136475783,0.04099588553370059,0.21506332676611328,13.291498899459839
梦一场,0.7536656891495601,0.9625468164794008,0.8453947368421052,0.8908730158730159,0.8376865671641791,0.8634615384615384,0.1372073267234558,-0.12486024931522166,0.018066801619433193,8.886922121047974
给电影人的情书,0.7214137214137214,0.9455040871934605,0.8183962264150942,0.9971509971509972,0.9536784741144414,0.9749303621169916,0.2757372757372758,0.008174386920980936,0.15653413570189734,6.522221803665161
野子,0.6118881118881119,0.85995085995086,0.7150153217568948,0.9796610169491525,0.7048780487804878,0.8198581560283688,0.36777290506104066,-0.1550728111703722,0.104842834271474,6.896713733673096
黑暗骑士,0.6047032474804032,0.9424083769633508,0.7366984993178718,0.9942528735632183,0.9041811846689896,0.9470802919708029,0.3895496260828152,-0.03822719229436122,0.2103817926529311,18.411612033843994
Aggregate,0.6361177292375064,0.8528471756842069,0.7249752817575686,0.9455505951678503,0.8608988415496195,0.8997735216916481,0.3094328659303439,0.008051665865412616,0.1747982399340795,13.815779699998743
