Sample,Baseline_Precision,Baseline_Recall,Baseline_F1,Alignment_Precision,Alignment_Recall,Alignment_F1,Precision_Improvement,Recall_Improvement,F1_Improvement,Runtime_seconds
My Heart Will Go On,0.43503937007874016,0.8435114503816794,0.574025974025974,0.7654867256637168,0.6603053435114504,0.7090163934426229,0.3304473555849766,-0.18320610687022898,0.1349904194166489,14.350484132766724
不为谁而作的歌,0.04460966542750929,0.06629834254143646,0.05333333333333332,0.9651162790697675,0.9171270718232044,0.9405099150141644,0.9205066136422582,0.850828729281768,0.887176581680831,19.05833911895752
以父之名,0.8581997533908755,0.90625,0.8815706143128563,0.982200647249191,0.7782051282051282,0.8683834048640916,0.12400089385831548,-0.12804487179487178,-0.013187209448764725,57.23557662963867
光年之外,0.9120654396728016,0.9570815450643777,0.9340314136125654,0.997716894977169,0.9337606837606838,0.9646799116997793,0.08565145530436735,-0.02332086130369393,0.030648498087213927,24.202221393585205
凉凉,0.6167315175097277,0.8521505376344086,0.7155756207674944,0.847953216374269,0.7774798927613941,0.8111888111888113,0.23122169886454136,-0.07467064487301456,0.09561319042131688,13.793392181396484
唯一,0.6114285714285714,0.9304347826086956,0.7379310344827587,0.9848484848484849,0.8478260869565217,0.911214953271028,0.37341991341991343,-0.08260869565217388,0.17328391878826932,5.86143946647644
想见你想见你想见你,0.5749486652977412,0.7821229050279329,0.6627218934911242,0.952076677316294,0.8324022346368715,0.8882265275707899,0.3771280120185527,0.05027932960893855,0.2255046340796657,22.725322246551514
慢慢喜欢你,0.7102272727272727,0.9282178217821783,0.8047210300429185,0.9900249376558603,0.9826732673267327,0.986335403726708,0.2797976649285876,0.05445544554455439,0.18161437368378952,8.3912992477417
明天会更好,0.6704416761041903,0.9235569422776911,0.7769028871391077,0.9049586776859504,0.6822429906542056,0.7779751332149201,0.23451700158176014,-0.24131395162348557,0.0010722460758123553,47.67314314842224
是妈妈是女儿,0.7677053824362606,0.8885245901639345,0.82370820668693,0.9826689774696707,0.9295081967213115,0.9553496208930076,0.21496359503341012,0.040983606557376984,0.13164141420607756,16.939843893051147
暗号,0.6956521739130435,0.9073724007561437,0.7875307629204266,0.8891050583657587,0.8606403013182674,0.8746411483253589,0.19345288445271525,-0.04673209943787626,0.08711038540493232,37.15711832046509
月牙湾,0.5828970331588132,0.9226519337016574,0.7144385026737968,0.987987987987988,0.9088397790055248,0.9467625899280576,0.4050909548291748,-0.013812154696132617,0.2323240872542608,14.54311227798462
来迟,0.6423841059602649,0.8798185941043084,0.7425837320574161,0.9975247524752475,0.9138321995464853,0.9538461538461539,0.35514064651498267,0.03401360544217691,0.21126242178873778,16.95969557762146
梦一场,0.7536656891495601,0.9625468164794008,0.8453947368421052,0.890495867768595,0.8071161048689138,0.8467583497053045,0.1368301786190349,-0.15543071161048694,0.0013636128631993039,11.805544137954712
给电影人的情书,0.7214137214137214,0.9455040871934605,0.8183962264150942,0.9827089337175793,0.9316939890710383,0.9565217391304348,0.2612952123038579,-0.013810098122422176,0.13812551271534057,9.256483793258667
野子,0.6118881118881119,0.85995085995086,0.7150153217568948,0.976,0.6009852216748769,0.7439024390243903,0.3641118881118881,-0.25896563827598307,0.0288871172674956,11.470483303070068
黑暗骑士,0.6047032474804032,0.9424083769633508,0.7366984993178718,0.9941291585127201,0.8850174216027874,0.9364055299539169,0.38942591103231694,-0.05739095536056338,0.1997070306360451,32.99516797065735
Aggregate,0.6361177292375064,0.8528471756842069,0.7249752817575686,0.9465296045375449,0.8382150537320823,0.88657164851762,0.31041187530003844,-0.0146321219521246,0.1615963667600514,21.436392167035272
