Sample,Baseline_Precision,Baseline_Recall,Baseline_F1,Alignment_Precision,Alignment_Recall,Alignment_F1,Precision_Improvement,Recall_Improvement,F1_Improvement,Runtime_seconds
My Heart Will Go On,0.43503937007874016,0.8435114503816794,0.574025974025974,0.8787878787878788,0.6666666666666666,0.7581699346405228,0.4437485087091386,-0.17684478371501278,0.18414396061454885,7.780284881591797
不为谁而作的歌,0.04460966542750929,0.06629834254143646,0.05333333333333332,0.9701492537313433,0.8977900552486188,0.9325681492109038,0.925539588303834,0.8314917127071824,0.8792348158775705,16.94495677947998
以父之名,0.8581997533908755,0.90625,0.8815706143128563,0.9614767255216693,0.767948717948718,0.8538845331432645,0.10327697213079379,-0.138301282051282,-0.027686081169591814,40.99319362640381
光年之外,0.9120654396728016,0.9570815450643777,0.9340314136125654,0.9976851851851852,0.924892703862661,0.9599109131403119,0.0856197455123836,-0.03218884120171672,0.025879499527746486,23.794588088989258
凉凉,0.6167315175097277,0.8521505376344086,0.7155756207674944,0.8392857142857143,0.7580645161290323,0.7966101694915255,0.22255419677598665,-0.09408602150537637,0.08103454872403115,13.133148908615112
唯一,0.6114285714285714,0.9304347826086956,0.7379310344827587,0.9842931937172775,0.8173913043478261,0.8931116389548694,0.3728646222887061,-0.11304347826086947,0.1551806044721108,4.160778999328613
想见你想见你想见你,0.5749486652977412,0.7821229050279329,0.6627218934911242,0.9581993569131833,0.8324022346368715,0.8908819133034379,0.383250691615442,0.05027932960893855,0.2281600198123137,18.545565366744995
慢慢喜欢你,0.7102272727272727,0.9282178217821783,0.8047210300429185,0.9924433249370277,0.9752475247524752,0.9837702871410736,0.282216052209755,0.04702970297029696,0.1790492570981551,6.310177326202393
明天会更好,0.6704416761041903,0.9235569422776911,0.7769028871391077,0.8984881209503239,0.6489859594383776,0.7536231884057971,0.22804644484613368,-0.2745709828393136,-0.023279698733310594,37.92467904090881
是妈妈是女儿,0.7677053824362606,0.8885245901639345,0.82370820668693,0.9823008849557522,0.9098360655737705,0.9446808510638297,0.21459550251949155,0.021311475409836023,0.1209726443768997,15.23456597328186
暗号,0.6956521739130435,0.9073724007561437,0.7875307629204266,0.9704641350210971,0.8679245283018868,0.9163346613545817,0.2748119611080536,-0.03944787245425685,0.12880389843415518,29.424394607543945
月牙湾,0.5828970331588132,0.9226519337016574,0.7144385026737968,0.993993993993994,0.914364640883978,0.9525179856115109,0.41109696083518077,-0.008287292817679481,0.23807948293771408,10.093211650848389
来迟,0.6423841059602649,0.8798185941043084,0.7425837320574161,0.9974747474747475,0.8956916099773242,0.9438470728793309,0.35509064151448266,0.015873015873015817,0.20126334082191477,12.256964921951294
梦一场,0.7536656891495601,0.9625468164794008,0.8453947368421052,0.8867521367521367,0.7786116322701688,0.8291708291708292,0.1330864476025766,-0.18393518420923194,-0.016223907671276017,10.138432264328003
给电影人的情书,0.7214137214137214,0.9455040871934605,0.8183962264150942,0.9904458598726115,0.8497267759562842,0.9147058823529413,0.26903213845889007,-0.09577731123717625,0.09630965593784702,6.685948848724365
野子,0.6118881118881119,0.85995085995086,0.7150153217568948,0.9789029535864979,0.5714285714285714,0.7216174183514774,0.36701484169838605,-0.28852228852228856,0.006602096594582663,9.018095254898071
黑暗骑士,0.6047032474804032,0.9424083769633508,0.7366984993178718,0.9942196531791907,0.8989547038327527,0.9441903019213176,0.38951640569878754,-0.043453673130598114,0.2074918026034458,20.662461519241333
Aggregate,0.6361177292375064,0.8528471756842069,0.7249752817575686,0.957374301109743,0.8221134241915286,0.8817409253022074,0.32125657187223655,-0.03073375149267832,0.15676564354463873,16.65302635641659
