Sample,Baseline_Precision,Baseline_Recall,Baseline_F1,Alignment_Precision,Alignment_Recall,Alignment_F1,Precision_Improvement,Recall_Improvement,F1_Improvement,Runtime_seconds
My Heart Will Go On,0.43503937007874016,0.8435114503816794,0.574025974025974,0.7552742616033755,0.685823754789272,0.7188755020080322,0.32023489152463536,-0.15768769559240736,0.1448495279820582,12.637319803237915
不为谁而作的歌,0.04460966542750929,0.06629834254143646,0.05333333333333332,0.9023746701846965,0.9447513812154696,0.923076923076923,0.8577650047571872,0.8784530386740332,0.8697435897435897,15.955625295639038
以父之名,0.8581997533908755,0.90625,0.8815706143128563,0.919431279620853,0.7461538461538462,0.8237791932059447,0.06123152622997752,-0.16009615384615383,-0.0577914211069116,49.50671195983887
光年之外,0.9120654396728016,0.9570815450643777,0.9340314136125654,0.9928057553956835,0.8846153846153846,0.9355932203389831,0.08074031572288187,-0.07246616044899312,0.0015618067264177027,21.81152606010437
凉凉,0.6167315175097277,0.8521505376344086,0.7155756207674944,0.8262195121951219,0.728494623655914,0.7742857142857144,0.20948799468539425,-0.12365591397849462,0.058710093518219986,11.323971271514893
唯一,0.6114285714285714,0.9304347826086956,0.7379310344827587,0.9788359788359788,0.8043478260869565,0.883054892601432,0.3674074074074074,-0.12608695652173907,0.14512385811867334,5.251449823379517
想见你想见你想见你,0.5749486652977412,0.7821229050279329,0.6627218934911242,0.939873417721519,0.8272980501392758,0.8800000000000001,0.36492475242377775,0.04517514511134291,0.2172781065088759,21.116151571273804
慢慢喜欢你,0.7102272727272727,0.9282178217821783,0.8047210300429185,0.9776674937965261,0.9752475247524752,0.976456009913259,0.26744022106925336,0.04702970297029696,0.17173497987034048,7.799486398696899
明天会更好,0.6704416761041903,0.9235569422776911,0.7769028871391077,0.869140625,0.6942277691107644,0.7718993928881178,0.19869894889580975,-0.2293291731669267,-0.005003494250989893,42.656742572784424
是妈妈是女儿,0.7677053824362606,0.8885245901639345,0.82370820668693,0.984641638225256,0.9459016393442623,0.9648829431438128,0.21693625578899534,0.05737704918032782,0.14117473645688283,14.529757022857666
暗号,0.6956521739130435,0.9073724007561437,0.7875307629204266,0.81640625,0.7901701323251418,0.8030739673390971,0.12075407608695654,-0.1172022684310019,0.01554320441867052,34.25373363494873
月牙湾,0.5828970331588132,0.9226519337016574,0.7144385026737968,0.8864864864864865,0.9010989010989011,0.8937329700272478,0.3035894533276733,-0.021553032602756317,0.179294467353451,13.633477687835693
来迟,0.6423841059602649,0.8798185941043084,0.7425837320574161,0.9853300733496333,0.9138321995464853,0.9482352941176471,0.34294596738936844,0.03401360544217691,0.20565156206023094,16.090354681015015
梦一场,0.7536656891495601,0.9625468164794008,0.8453947368421052,0.868421052631579,0.8003731343283582,0.8330097087378642,0.11475536348201887,-0.16217368215104255,-0.012385028104241025,10.763147354125977
给电影人的情书,0.7214137214137214,0.9455040871934605,0.8183962264150942,0.9733727810650887,0.8989071038251366,0.9346590909090908,0.25195905965136733,-0.04659698336832385,0.11626286449399659,8.359109878540039
野子,0.6118881118881119,0.85995085995086,0.7150153217568948,0.8877551020408163,0.6428571428571429,0.7457142857142857,0.27586699015270444,-0.21709371709371705,0.030698963957390912,9.44759488105774
黑暗骑士,0.6047032474804032,0.9424083769633508,0.7366984993178718,0.986,0.8588850174216028,0.9180633147113594,0.3812967525195968,-0.08352335954174794,0.1813648153934876,25.805084228515625
Aggregate,0.6361177292375064,0.8528471756842069,0.7249752817575686,0.9147080222442715,0.8260579665450818,0.8663760248834596,0.2785902930067651,-0.02678920913912508,0.1414007431258909,18.878896713256836
